digit,accuracy,num_samples
0,0.9903147699757869,413
1,0.9935897435897436,468
2,0.9832535885167464,418
3,0.9885057471264368,435
4,0.9877149877149877,407
5,0.9842105263157894,380
6,0.9903381642512077,414
7,0.990909090909091,440
8,0.9482758620689655,406
9,0.9856801909307876,419
